,,,,,Children under 6 years with elevated blood lead levels (BLL) : Summarize
Topic: Health Behavior and Population
Subtopic: Childhood Lead Exposure
Indicator Name: Children under 6 years with elevated blood lead levels (BLL)
Indicator Description: There is no safe level of lead in the blood. Lead poisoning can cause learning and behavior problems and delay growth and mental development.
Notes: *Estimate is based on small numbers so should be interpreted with caution.

Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number BLL >=10 µg/dL,Number BLL >=15 µg/dL,Number BLL >=5 µg/dL,Number Tested,"Rate BLL >=10 µg/dL (per 1,000 tested)","Rate BLL >=15 µg/dL (per 1,000 tested)","Rate BLL >=5 µg/dL (per 1,000 tested)",Notes Number BLL >=10 µg/dL,Notes Number BLL >=15 µg/dL,Notes Number BLL >=5 µg/dL,Notes Number Tested,Notes Rate BLL >=10 µg/dL,Notes Rate BLL >=15 µg/dL,Notes Rate BLL >=5 µg/dL,
2018,Borough,Manhattan, Manhattan,3,Children under 6 years with elevated blood lead levels (BLL),42,13,243,"32,500",1.3,0.4,7.5,,,,,,,,
2019,Borough,Manhattan, Manhattan,3,Children under 6 years with elevated blood lead levels (BLL),41,14,198,"34,500",1.2,0.4,5.7,,,,,,,,
2005,Borough,Queens, Queens,4,Children under 6 years with elevated blood lead levels (BLL),750,278,"8,238","80,400",9.3,3.5,102.5,,,,,,,,
2006,Borough,Queens, Queens,4,Children under 6 years with elevated blood lead levels (BLL),694,246,"7,638","82,800",8.4,3.0,92.3,,,,,,,,
2007,Borough,Queens, Queens,4,Children under 6 years with elevated blood lead levels (BLL),550,198,"6,699","84,100",6.5,2.4,79.6,,,,,,,,
2008,Borough,Queens, Queens,4,Children under 6 years with elevated blood lead levels (BLL),471,160,"4,821","89,700",5.2,1.8,53.7,,,,,,,,
2009,Borough,Queens, Queens,4,Children under 6 years with elevated blood lead levels (BLL),403,147,"3,649","90,700",4.4,1.6,40.2,,,,,,,,
2010,Borough,Queens, Queens,4,Children under 6 years with elevated blood lead levels (BLL),400,161,"3,528","92,200",4.3,1.7,38.2,,,,,,,,
2011,Borough,Queens, Queens,4,Children under 6 years with elevated blood lead levels (BLL),353,128,"2,649","92,900",3.8,1.4,28.5,,,,,,,,
2012,Borough,Queens, Queens,4,Children under 6 years with elevated blood lead levels (BLL),286,119,"1,864","90,600",3.2,1.3,20.6,,,,,,,,
2013,Borough,Queens, Queens,4,Children under 6 years with elevated blood lead levels (BLL),239,77,"1,638","89,900",2.7,0.9,18.2,,,,,,,,
2014,Borough,Queens, Queens,4,Children under 6 years with elevated blood lead levels (BLL),271,95,"1,658","89,400",3.0,1.1,18.6,,,,,,,,
2015,Borough,Queens, Queens,4,Children under 6 years with elevated blood lead levels (BLL),244,87,"1,377","89,500",2.7,1.0,15.4,,,,,,,,
2016,Borough,Queens, Queens,4,Children under 6 years with elevated blood lead levels (BLL),203,75,"1,247","87,400",2.3,0.9,14.3,,,,,,,,
2017,Borough,Queens, Queens,4,Children under 6 years with elevated blood lead levels (BLL),198,74,"1,094","87,300",2.3,0.8,12.5,,,,,,,,
2018,Borough,Queens, Queens,4,Children under 6 years with elevated blood lead levels (BLL),195,76,961,"83,100",2.3,0.9,11.6,,,,,,,,
2019,Borough,Queens, Queens,4,Children under 6 years with elevated blood lead levels (BLL),163,61,790,"82,100",2.0,0.7,9.6,,,,,,,,
2005,Borough,Staten Island, Staten Island,5,Children under 6 years with elevated blood lead levels (BLL),112,36,990,"14,500",7.7,2.5,68.2,,,,,,,,
2006,Borough,Staten Island, Staten Island,5,Children under 6 years with elevated blood lead levels (BLL),101,34,983,"15,600",6.5,2.2,62.9,,,,,,,,
2007,Borough,Staten Island, Staten Island,5,Children under 6 years with elevated blood lead levels (BLL),89,35,"1,049","16,500",5.4,2.1,63.5,,,,,,,,
2008,Borough,Staten Island, Staten Island,5,Children under 6 years with elevated blood lead levels (BLL),73,26,611,"16,000",4.6,1.6,38.2,,,,,,,,
2009,Borough,Staten Island, Staten Island,5,Children under 6 years with elevated blood lead levels (BLL),57,24,528,"15,600",3.6,1.5,33.8,,,,,,,,
2010,Borough,Staten Island, Staten Island,5,Children under 6 years with elevated blood lead levels (BLL),44,9,388,"15,900",2.8,0.6,24.3,,,,,,,,
2011,Borough,Staten Island, Staten Island,5,Children under 6 years with elevated blood lead levels (BLL),43,14,317,"15,400",2.8,0.9,20.6,,,,,,,,
2012,Borough,Staten Island, Staten Island,5,Children under 6 years with elevated blood lead levels (BLL),44,12,246,"14,700",3.0,0.8,16.8,,,,,,,,
2013,Borough,Staten Island, Staten Island,5,Children under 6 years with elevated blood lead levels (BLL),30,10,260,"14,700",2.0,0.7,17.7,,,,,,,,
2014,Borough,Staten Island, Staten Island,5,Children under 6 years with elevated blood lead levels (BLL),31,9,238,"14,000",2.2,0.6,17.0,,,,,,,,
2015,Borough,Staten Island, Staten Island,5,Children under 6 years with elevated blood lead levels (BLL),27,9,164,"13,700",2.0,0.7,11.9,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2016,Borough,Staten Island, Staten Island,5,Children under 6 years with elevated blood lead levels (BLL),35,10,192,"12,900",2.7,0.8,14.8,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2017,Borough,Staten Island, Staten Island,5,Children under 6 years with elevated blood lead levels (BLL),41,18,156,"12,800",3.2,1.4,12.2,,,,,,,,
2018,Borough,Staten Island, Staten Island,5,Children under 6 years with elevated blood lead levels (BLL),34,22,154,"12,800",2.7,1.7,12.1,,,,,,,,
2019,Borough,Staten Island, Staten Island,5,Children under 6 years with elevated blood lead levels (BLL),25,8,110,"13,800",1.8,0.6,8.0,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2005,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Children under 6 years with elevated blood lead levels (BLL),3,2,103,"1,900",1.6,1.0,53.3,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2006,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Children under 6 years with elevated blood lead levels (BLL),4,0,80,"1,900",2.1,0.0,41.9,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2007,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Children under 6 years with elevated blood lead levels (BLL),5,2,86,"2,000",2.5,1.0,43.5,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2008,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Children under 6 years with elevated blood lead levels (BLL),5,0,65,"2,200",2.3,0.0,29.8,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2009,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Children under 6 years with elevated blood lead levels (BLL),7,2,63,"2,200",3.2,0.9,28.6,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2010,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Children under 6 years with elevated blood lead levels (BLL),4,1,52,"2,200",1.8,0.5,24.0,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2011,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Children under 6 years with elevated blood lead levels (BLL),3,1,29,"2,200",1.4,0.5,13.2,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2012,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Children under 6 years with elevated blood lead levels (BLL),2,0,11,"2,200",0.9,0.0,5.0,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,
2013,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Children under 6 years with elevated blood lead levels (BLL),1,0,13,"2,200",0.5,0.0,5.9,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2014,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Children under 6 years with elevated blood lead levels (BLL),2,0,9,"2,200",0.9,0.0,4.2,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,
2015,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Children under 6 years with elevated blood lead levels (BLL),1,1,10,"2,200",0.5,0.5,4.6,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,
2016,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Children under 6 years with elevated blood lead levels (BLL),1,0,13,"2,200",0.4,0.0,5.8,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2017,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Children under 6 years with elevated blood lead levels (BLL),2,0,8,"2,300",0.9,0.0,3.5,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,
2018,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Children under 6 years with elevated blood lead levels (BLL),1,0,11,"2,100",0.5,0.0,5.3,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,
2019,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Children under 6 years with elevated blood lead levels (BLL),2,1,6,"2,100",1.0,0.5,2.9,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,
2005,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Children under 6 years with elevated blood lead levels (BLL),220,69,"2,528","16,100",13.6,4.3,156.8,,,,,,,,
2006,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Children under 6 years with elevated blood lead levels (BLL),217,81,"2,442","15,100",14.4,5.4,162.3,,,,,,,,
2007,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Children under 6 years with elevated blood lead levels (BLL),155,52,"2,132","15,300",10.1,3.4,139.5,,,,,,,,
2008,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Children under 6 years with elevated blood lead levels (BLL),103,42,"1,237","15,300",6.7,2.8,81.0,,,,,,,,
2009,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Children under 6 years with elevated blood lead levels (BLL),72,26,834,"15,900",4.5,1.6,52.5,,,,,,,,
2010,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Children under 6 years with elevated blood lead levels (BLL),81,28,801,"16,000",5.1,1.7,50.0,,,,,,,,
2011,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Children under 6 years with elevated blood lead levels (BLL),73,26,727,"16,100",4.5,1.6,45.1,,,,,,,,
2012,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Children under 6 years with elevated blood lead levels (BLL),69,22,477,"14,800",4.7,1.5,32.1,,,,,,,,
2013,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Children under 6 years with elevated blood lead levels (BLL),52,17,357,"14,300",3.6,1.2,24.9,,,,,,,,
2014,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Children under 6 years with elevated blood lead levels (BLL),50,16,368,"13,700",3.6,1.2,26.9,,,,,,,,
2015,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Children under 6 years with elevated blood lead levels (BLL),47,21,265,"13,100",3.6,1.6,20.2,,,,,,,,
2016,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Children under 6 years with elevated blood lead levels (BLL),34,12,243,"12,200",2.8,1.0,19.9,,,,,,,,
2017,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Children under 6 years with elevated blood lead levels (BLL),42,12,196,"12,000",3.5,1.0,16.3,,,,,,,,
2018,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Children under 6 years with elevated blood lead levels (BLL),37,13,168,"11,600",3.2,1.1,14.5,,,,,,,,
2019,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Children under 6 years with elevated blood lead levels (BLL),30,19,137,"11,400",2.6,1.7,12.0,,,,,,,,
2005,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Children under 6 years with elevated blood lead levels (BLL),52,21,500,"5,900",8.8,3.5,84.3,,,,,,,,
2006,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Children under 6 years with elevated blood lead levels (BLL),42,12,530,"6,200",6.8,1.9,85.2,,,,,,,,
2007,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Children under 6 years with elevated blood lead levels (BLL),35,12,437,"6,200",5.6,1.9,70.2,,,,,,,,
2008,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Children under 6 years with elevated blood lead levels (BLL),42,16,327,"6,400",6.5,2.5,50.7,,,,,,,,
2009,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Children under 6 years with elevated blood lead levels (BLL),34,19,281,"6,600",5.1,2.9,42.3,,,,,,,,
2010,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Children under 6 years with elevated blood lead levels (BLL),52,17,284,"7,100",7.3,2.4,40.1,,,,,,,,
2011,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Children under 6 years with elevated blood lead levels (BLL),35,11,241,"7,100",5.0,1.6,34.2,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2012,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Children under 6 years with elevated blood lead levels (BLL),34,10,163,"6,900",4.9,1.4,23.5,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2013,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Children under 6 years with elevated blood lead levels (BLL),29,9,169,"7,400",3.9,1.2,22.7,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2014,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Children under 6 years with elevated blood lead levels (BLL),35,11,167,"7,300",4.8,1.5,22.8,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2015,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Children under 6 years with elevated blood lead levels (BLL),37,12,147,"7,800",4.8,1.5,18.9,,,,,,,,
2016,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Children under 6 years with elevated blood lead levels (BLL),33,13,131,"7,600",4.3,1.7,17.2,,,,,,,,
2017,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Children under 6 years with elevated blood lead levels (BLL),33,12,136,"7,700",4.3,1.6,17.6,,,,,,,,
2018,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Children under 6 years with elevated blood lead levels (BLL),29,12,117,"7,500",3.8,1.6,15.5,,,,,,,,
2019,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Children under 6 years with elevated blood lead levels (BLL),26,14,100,"8,000",3.3,1.8,12.6,,,,,,,,
2005,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Children under 6 years with elevated blood lead levels (BLL),156,59,"1,537","12,000",13.0,4.9,127.9,,,,,,,,
2006,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Children under 6 years with elevated blood lead levels (BLL),157,54,"1,660","11,900",13.2,4.6,139.9,,,,,,,,
